problem,addition,subtraction,multiplication,division
Helen baked 435 chocolate chip cookies yesterday and 139 cookies this morning. How many cookies did Helen bake?,1,0,0,0
Pinky the Pig bought 36 apples while Danny the Duck bought 73 apples and 14 bananas. How many apples do they have altogether?,1,0,0,0
Dylan the Dog prepared 241 hotdog sticks in a huge brown bag. His father placed 426 more hotdog sticks in the same brown bag. How many hotdog sticks did Dylan and his father place in the brown bag?,1,0,0,0
"Helen’s mother brought 101 hotdogs. After a few hours, Dylan’s mother arrived with 379 hotdogs and 600 buns. How many hotdogs do they have altogether?",1,0,0,0
Pinky made 147 miniature pumpkin pies for everyone and Helen made 56. How many miniature pies do they have in total?,1,0,0,0
There are initially 15 planks of wood at the woodshop. Charlie is able to obtain 10 more planks and his father is able to contribute 7. How many planks of wood will there be in total?,1,0,0,0
A big box contains 51 nails and a small box contains 28 nails. How many nails are there in the two boxes?,1,0,0,0
"Tommy is making a pen with some rope and wood. He used 24 inches of rope for the first post, 20 inches on the second, 14 inches on the third and 12 inches on the fourth. He also had 15 feet of cable, but didn’t use that. How many inches of rope were used?",1,0,0,0
"The designer estimated that they will need 20 ounces of white paint, 15 ounces of green paint and 34 ounces of brown paint to redecorate the shed. How many ounces of paint should they buy in total?",1,0,0,0
"If Charlie ate 15 cookies, his father ate 10 and his mother only ate 5, how many cookies were eaten in total?",1,0,0,0
Bob has 10 candies. Mary has 5. Sue has 20. John has 5 and Sam has 10. How many candies did they have together?,1,0,0,0
"Mary has 5 chewing gums and 3 chocolate bars and Sam has 10 chewing gums. If Sue has 15 chewing gums, how many chewing gums did the three have in all?",1,0,0,0
"She got her share of candies composed of 10 chewing gums, 15 chocolate bars, and 20 assorted fruit candies. How many candies did she get in total?",1,0,0,0
"He took his share of candy that consisted of 15 chewing gums, 20 chocolate bars and 15 assorted candies. How many candies did he get?",1,0,0,0
"The parents hid 55 eggs around the club house, 33 eggs around the village park, and 22 eggs in the town hall garden. How many eggs were hidden in total?",1,0,0,0
"Joe, at the Easter egg hunt, found 12 eggs around the club house, 5 eggs around the park and 3 eggs in the town hall garden. He also found 2 quarters when he was looking for eggs! How many eggs did Joe find?",1,0,0,0
"The twins Ellie and Amy were able to locate 10 eggs around the club house, 4 eggs in the town hall garden and 6 more around the park during the Easter Egg Hunt. How many eggs do they have in total?",1,0,0,0
"At the Easter hunt, the rest of the kids around town got 13 more eggs around the club house, 9 eggs around the park, and 8 eggs in the town hall garden. If we add all the eggs that they found, how many eggs would that be?",1,0,0,0
"If all the participants found a total 40 eggs from the club house, 25 eggs from the park and 15 eggs from the town hall, write an equation showing how many Easter eggs were found that day?",1,0,0,0
